Name,Cell_type,Bptf,Cbfa2t3h,Cdkn2a,Csf1r,Dnmt3a,Egfl7,Eif2b1,Erg,Ets1,Ets2,Etv6,Fli1,Gata1,Gata2,Gata3,Gfi1,Gfi1b,Hhex,Hoxa5,Hoxa9,Hoxb4,Ikzf1,Itga2b,Kit,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Mpl,Myb,Nfe2,Nkx2.3,Notch,Pbx1,Polr2a,Prdm16,Procr,Runx1,Sfpi1,Sh2b3,Smarcc1,Tal1,Tcf7,Tet2,Ubc,Vwf
CMP_001,CMP,17.40732554,18.9335484,40,40,16.86263719,19.65140614,17.36405738,18.23124536,40,18.78883764,20.74322276,17.28227936,40,40,40,40,18.70654904,17.48144936,40,40,40,17.64326164,40,16.36383786,17.68844341,17.02834901,18.53410164,40,40,40,40,15.63309276,17.28265354,40,40,40,20.32345118,40,40,22.48517963,19.11980623,40,16.67097846,17.40829549,40,18.6486879,14.11696599,40
CMP_002,CMP,18.18724144,25.69284276,40,19.12867048,18.46854503,20.34659234,17.19609697,18.94487525,40,40,18.67998172,15.47356966,40,21.36170566,40,40,19.3410381,17.80148303,40,20.67290065,19.70246889,19.92741897,40,17.0354962,40,17.11170531,17.12939078,40,18.1784945,40,40,16.69491698,16.95050174,40,24.43973638,40,17.58185146,40,40,21.79965818,16.53909555,22.9796019,16.86992804,18.72265845,40,40,14.60488485,40
CMP_003,CMP,18.12619826,19.51735943,40,40,17.94786637,19.84068425,17.28808098,40,40,40,17.49610604,14.55752384,40,20.07187672,40,40,40,40,40,20.63867807,40,18.35649269,16.98397607,16.01628544,40,16.33255719,18.05282634,40,14.89218402,40,15.44765721,17.60175372,16.85097478,18.36747339,40,17.84777322,18.74845282,40,40,22.75510049,19.25776784,40,17.25121774,17.53645027,40,40,16.35552722,40
CMP_004,CMP,17.07969072,17.19055545,40,40,17.42711331,40,40,40,40,40,17.88915031,17.82334818,40,17.23716055,40,40,40,18.95051568,40,40,40,17.67505132,19.23323426,15.66520663,17.79130009,20.9353993,16.84131443,19.19161375,15.38014355,40,40,15.87717148,15.86889377,40,40,19.37386349,19.50187857,40,40,23.47364825,20.91054193,40,20.14608999,24.57310085,40,19.49758015,14.01628935,40
CMP_005,CMP,19.23150679,18.81250274,40,40,17.40354726,40,40,40,40,40,20.22927873,17.2038987,19.30271501,18.22288044,40,40,18.22420441,40,40,40,40,18.31253696,40,16.56217712,40,19.51780917,40,40,17.83488421,40,40,15.93972492,17.26283821,40,40,20.18431724,19.91760249,40,40,23.59316421,40,40,17.88106196,18.72940565,40,19.40838566,15.58097018,40
CMP_006,CMP,16.71298058,17.12877246,40,40,19.08681729,40,19.76245249,19.16364533,40,19.56331606,18.22525584,17.25098027,18.15911744,19.11770023,40,40,16.80554599,18.54193009,40,40,40,17.23763188,40,17.55251057,18.62927734,40,17.75130114,40,17.89824595,40,40,16.55161752,18.26036609,40,40,40,20.67967973,40,40,23.199437,19.10262717,40,17.59592684,21.35762416,40,20.47546257,15.22576371,40
CMP_007,CMP,17.52600855,19.55208677,40,40,18.9166428,40,40,40,21.40332415,40,40,16.03047159,18.31012938,21.22616475,40,40,19.25290019,40,40,40,40,18.47238646,40,16.1698545,40,18.88141909,19.29576163,40,19.13291553,40,40,17.01928483,17.66253005,40,40,40,21.05812821,40,40,22.50899739,40,40,17.57229175,40,40,18.98981298,16.45748826,40
CMP_008,CMP,16.73003627,17.32344931,40,40,18.04846323,20.54603082,20.37501633,40,40,40,20.00835994,17.29428017,40,18.63640545,17.88477248,40,17.92177024,18.76020383,40,40,19.58024518,18.75273704,18.6858063,16.31912421,19.57121838,19.46039936,18.81848437,40,16.77394847,40,40,16.00013823,17.30964848,40,40,40,21.86022681,19.03418078,40,24.88198897,18.70217983,40,19.85710904,40,40,20.31300241,14.80759264,40
CMP_009,CMP,17.67861131,17.33172624,40,40,17.53607365,18.25962866,19.71954747,40,40,40,19.05785325,16.03479945,17.91313574,19.10215196,40,40,18.16604098,40,40,40,40,17.76669526,17.47086403,16.12178282,19.6747062,18.49282293,19.19570854,40,15.7630238,40,18.67089435,15.96740982,16.90707662,40,40,20.18443188,19.46463024,20.00293356,40,21.72034836,17.51908161,40,17.15737896,17.99153433,40,19.55716343,15.41485024,40
CMP_010,CMP,18.94417042,18.37588897,40,40,40,20.41999864,18.1250317,19.22916838,40,40,20.26941807,16.56071043,19.09514039,18.49866546,40,40,16.71793942,18.79583722,40,19.57663665,40,18.24902191,40,17.08723692,16.83820215,25.53906098,18.86400127,40,17.97769478,40,40,16.78621195,18.02809899,40,40,40,19.26986964,40,40,23.86306195,40,40,17.8059421,17.08900402,40,20.5492725,16.79824096,40
