Name,Bptf,Cbfa2t3h,Erg,Ets1,Ets2,Etv6,Fli1,Gata1,Gata2,Gata3,Gfi1b,Hhex,Hoxa5,Hoxa9,Hoxb4,Ikzf1,Ldb1,Lmo2,Lyl1,Meis1,Mitf,Myb,Nfe2,Nkx2,Notch,Pbx1,Prdm16,Runx1,Smarcc1,Tal1,Tcf7
HSC_150_043,0.943349353,0.781091058,0.805286965,1,0.854509632,0.861976658,0.871083992,0,0.873538871,0.860366491,0.824924922,0.887911771,0,0.905248946,0,0.838079581,0.786358142,0.752350655,0.826016883,0.896084909,0,0.749921814,0.837254756,0.924702733,0,0.934011901,0.870803075,0.735067831,0.725708586,0.844902281,0
HSC48_013,0.804956268,0.721719627,0.788552072,0,0.744489345,0.791829629,0.811576615,0,0.714438419,0.768884979,0.826890083,0.775655968,0,0.681525803,0,0.796993465,0.673724429,0.815942012,0.723841409,0.765236565,0.885834902,0.675187634,0.85833612,0.788298363,0,0.815416319,0.764815652,0.589549106,0.794391752,0.731840598,0
HSC48_083,0.828950911,0.798920445,0.707636021,0.765867496,0.745064367,0.638741441,0.891362233,0,0.825474342,0.763513569,0.718821911,0.816406618,0,0.748536229,0,0.631250316,0,0.883849731,0.776164889,0.734593489,0,0.701404585,0.884751111,0.767880824,0,0.914645878,0.789804174,0.428279037,0.677872347,0.868762124,0
HSC34_387,0,0.890910593,0.932652655,0.795992597,0.828203521,0.781929194,0.891463323,0,0.816069384,0.86260863,0.958861022,0.939474279,0,0.778691026,0,0.773679907,0.888780449,0.904799567,0.782055145,0.90584948,0,0.786022521,0.887259644,0.808720949,0,0.833583958,0.919769583,0.78224496,0.877227643,0.841273342,0
HSC48_049,0.77070793,0.77637862,0.780509792,0.724222886,0.815356469,0.83915418,0.811798316,0,0.719726873,0.791517266,0.667850021,0.865728506,0,0.744674334,0,0.773814414,0.753889601,0.879745297,0.76062233,0.791542203,0.766243982,0.668340312,0.874993952,0.68169524,0,0.54114324,0.82734253,0,0.826484193,0.744344004,0
HSC_150_035,0.714470927,0.718703603,0.685153773,0,0.568964317,0,0.732101593,0,0.840416834,0,0.765420401,0,0.348314597,0.662161247,0,0.71535696,0,0.541135739,0.695488306,0,0,0.533201342,0.766814189,0.543687456,0,0,0.693535469,0,0.519405816,0.479138172,0
HSC_150_052,0.79485198,0.725164792,0.801799515,0,0.808727918,0.840267142,0.775638721,0,0.790251925,0.886059991,0.79208547,0,0,0.687229004,0,0,0.766262018,0.843470885,0.795105963,0.822567062,0.861246402,0.747918423,0.810278652,0,0.764265376,0.796194582,0.902237492,0.584378849,0.679479326,0.679291213,0
HSC_150_160,0.864485528,0.960746264,0.98435646,0,0.969001626,0.770511046,0.965329111,0,0.923105445,0,0.986875117,0,0,0.833031785,0,0,0.928401305,0.881628707,0.925728491,0.871204183,0.970159217,0.692339966,0.977388339,0.985720498,0,0.99043244,0.918865398,0,0.900534934,0,0
HSC_150_165,0.878441989,0.730515092,0.848640554,0.731189387,0.605094746,0,0.792842764,0,0.748102707,0.826652391,0.859087006,0.887296147,0,0,0,0.67750319,0.641083805,0.78851909,0.719298324,0.80360814,0.815331691,0.514386139,0.782897709,0.78743654,0,0.889047401,0.746462143,0.35640816,0.710991402,0.84810293,0
HSC48_205,0.705238941,0.794745358,0.874309862,0.750384269,0.750162875,0.754916972,0.823748337,0,0.835706358,0.82847591,0.878647231,0.51520001,0.888442605,0.733480693,0.89409539,0.696180238,0,0.800485016,0.791507912,0.81706531,0,0.573353065,0.834315782,0.854840403,0.525103156,0.785420193,0.789939755,0.580128975,0.770990263,0.513515111,0
HSC_150_150,0.645464934,0.74776838,0.726068376,0.860113045,0.765910533,0.761076418,0.786312381,0,0.716620596,0.716079893,0.838286155,0.880928918,0,0.815863373,0,0.750720363,0.777877084,0.869435939,0.752151258,0.720776726,0,0.61739688,0.744833964,0.750336584,0,0.908275056,0.821140216,0.335108059,0.751181638,0.777975506,0
HSC34_338,0.959743983,0.835628536,0.906654803,0,0,0.870192537,0.963482246,0,0.913643465,0.895192328,0.823363229,0.973155015,0,0.782335616,0,0.778444213,0.881245913,0.963425025,0.840592149,0.949197536,0.900220316,0.891661421,0.884754139,0.840093078,0.836263632,0.940560983,0.882823982,0.826548856,0.871640719,0.910833238,0
HSC_150_112,0.753638995,0.754090309,0.738735024,0,0.764448238,0.768380017,0.761426591,0,0.697441441,0.752824177,0.682944115,0.869196067,0,0,0,0.664049951,0.749201618,0.826307281,0.755167001,0.722088029,0,0.573093689,0.771741901,0.749968141,0,0.394447296,0,0,0.798168631,0,0
HSC_150_063,0.825780919,0.771290978,0.80453107,0,0.746518623,0,0.761288632,0,0.913684358,0,0.853172587,0.844893534,0,0.724209149,0,0.702362964,0.737075061,0.827352848,0.76521261,0.721402745,0.842372191,0.675531547,0.849413215,0.709242133,0,0.766363135,0,0.395210469,0.659079584,0.885403089,0
HSC34_224,0.847696841,0.718536334,0.738144177,0,0.742604339,0.674597526,0.825992983,0,0.33700737,0.801606989,0.793211159,0.803328258,0,0.741575833,0.86784829,0.710402532,0.828673552,0.79360831,0.802408623,0.771112862,0,0.607883552,0.840824752,0.693538276,0,0.749533143,0.962298429,0.603184503,0.671769216,0.760591746,0
HSC_150_121,0.775379834,0.814431374,0.790095199,0,0.765466303,0.817862049,0.854540212,0,0.682752218,0.78674579,0.774534459,0,0,0,0,0,0.779698918,0.695053569,0.770326925,0.790016098,0.833503939,0.465886913,0.819647768,0.858640496,0,0.946001541,0.770655124,0.476716633,0.76000694,0.763419124,0
